Identifier,Title,ShortTitle,ValueType
CS-WORKCG50topa,Total Count of People aged 50 to pensionable age in Workless Client Group,Workless Client Group: Aged 50 to PA Count,count
CS-WORKCGF16_19,Total Count of Women aged 16 to 19 in Workless Client Group,Workless Client Group: Women aged 16 to 19 Count,count
CS-WORKCGF20_24,Total Count of Women aged 20 to 24 in Workless Client Group,Workless Client Group: Women aged 20 to 24 Count,count
CS-WORKCGF25_49,Total Count of Women aged 25 to 49 in Workless Client Group,Workless Client Group: Women aged 25 to 49 Count,count
CS-WORKCGF50_59,Total Count of Women aged 50 to 59 in Workless Client Group,Workless Client Group: Women aged 50 to 59 Count,count
CS-WORKCGM16_19,Total Count of Men aged 16 to 19 in Workless Client Group,Workless Client Group: Men aged 16 to 19 Count,count
CS-WORKCGM20_24,Total Count of Men aged 20 to 24 in Workless Client Group,Workless Client Group: Men aged 20 to 24 Count,count
CS-WORKCGM25_49,Total Count of Men aged 25 to 49 in Workless Client Group,Workless Client Group: Men aged 25 to 49 Count,count
CS-WORKCGM50_64,Total Count of Men aged 50 to 64 in Workless Client Group,Workless Client Group: Men aged 50 to 64 Count,count
CS-WORKCGP_16_19,Percentage of population aged 16 - 19 in Workless Client Group,Workless Client Group: % of population aged 16 - 19,ratio
CS-WORKCGP_25_49,Percentage of population aged 25 - 49 in Workless Client Group,Workless Client Group: % of population aged 25 - 49,ratio
CS-WORKCGP_50topa,Percentage of population aged 50 - Pensionable age in Workless Client Group,Workless Client Group: % of population aged 50 to PA,ratio
CS-WORKCGP_r20_24,Percentage of population aged 20 - 24 in Workless Client Group,Workless Client Group: % of population aged 20 - 24,ratio
CS-WORKCGP_Total,Percentage of Working age population in Workless Client Group,Workless Client Group: % of Working Age Population,ratio
CS-WTC_only,All families in work receiving Working Tax Credit only,All families in work receiving WTC only,count
ED-ent_ct,Number of entrants to first degree courses,First Degree Entrants,count
ED-festu_ct,Headcounts of students in Further Education courses,Further Education Headcounts,count
ED-festu_fte,Full-time Equivalency of students in Further Education courses,Further Education FTE,count
ED-HEPosiDest,Percentage of Scottish domiciled graduates from Scottish Higher Education Institutions in positive destinations,% of Scottish domiciled graduates from Scottish HEIs in positive destinations,count
ED-hestu_ct,Number of students in Higher Education courses,Higher Education Students,count
ED-hestu_fte,Full-time Equivalency of students in Higher Education courses,Higher Education FTE,count
ED-LAsPosRep,Percentage of local authority areas with positive inspection reports,% of LA areas with positive inspection reports,count
ED-NoLAsInspect,Number of local authority areas inspected,Number of LA areas inspected,count
ED-NoPreSch,Number of pre-school inspection reports,Number of pre-school inspection reports,count
ED-NoSchInspect,Number of schools inspected,Number of schools inspected,count
ED-PISAGap,The gap in performance in the Programme for International Student Assessment (PISA) between Scotland and the OECD average in points score,Gap in PISA score between Scotland and the OECD average,count
ED-PPsARsPPA1,Primary percentage attendance rate,Primary percentage attendance rate,ratio
ED-PPsARsPSA1,Secondary percentage attendance rate,Secondary percentage attendance rate,ratio
ED-PPsASLsNFRoN3,"Number of Female pupils with a Coordinated Support Plan, Individualised Education Programme and/or provision set by a previous Record of Need in primary, secondary and special schools",Female pupils with Additional Support Needs,count
ED-PPsASLsNMRoN3,"Number of Male pupils with a Coordinated Support Plan, Individualised Education Programme and/or provision set by a previous Record of Need in primary, secondary and special schools",Male pupils with Additional Support Needs,count
ED-PPsASLsNTRoN3,"Total number of pupils with a Coordinated Support Plan, Individualised Education Programme and/or provision set by a previous Record of Need in primary, secondary and special schools",Total pupils with Additional Support Needs,count
ED-PPsASLsPFRoN3,"Percentage of Female pupils with a Coordinated Support Plan, Individualised Education Programme and/or provision set by a previous Record of Need in primary, secondary and special schools",Percentage female pupils with Additional Support Needs,ratio
ED-PPsASLsPMRoN3,"Percentage of Male pupils with a Coordinated Support Plan, Individualised Education Programme and/or provision set by a previous Record of Need in primary, secondary and special schools",Percentage male pupils with Additional Support Needs,ratio
ED-PPsASLsPTRoN3,"Total Percentage of pupils with a Coordinated Support Plan, Individualised Education Programme and/or provision set by a previous Record of Need in primary, secondary and special schools",Percentage pupils with Additional Support Needs,ratio
ED-PPsCLAsNFLA,Number of Female pupils looked after by the Local Authority,Looked after by the Local Authority: No of female pupils,count
ED-PPsCLAsNMLA,Number of Male pupils looked after by the Local Authority,Looked after by the Local Authority: No of male pupils,count
ED-PPsCLAsNTLA,Total Number of pupils looked after by the Local Authority,Looked after by the Local Authority: No of all pupils,count
ED-PPsCLAsP_FLA,Percentage of Female pupils looked after by the Local Authority,Looked after by the Local Authority: Percentage of female pupils,ratio
ED-PPsCLAsP_MLA,Percentage of Male pupils looked after by the Local Authority,Looked after by the Local Authority: Percentage of male pupils,ratio
ED-PPsCLAsP_TLA,Percentage of all pupils looked after by the Local Authority,Looked after by the Local Authority: Percentage of all pupils,ratio
ED-PPsEsEP1000P3,"Number of temporary exclusions and removals from register per 1,000 pupils","Exclusions per 1,000 pupils",ratio
ED-PPsEsNPSE3,Number of primary and secondary pupils from ethnic minority groups,Pupils from ethnic minority groups,count
ED-PPsEsNPSENK3,Number of primary and secondary pupils for whom the ethnic background is not know or not disclosed,Pupils with undisclosed / unknown ethnicity,count
ED-PPsEsPPSE3,Percentage of all pupils in primary and secondary schools from ethnic minority groups,% Pupils from ethnic minority groups,ratio
ED-PPsEsPPSENK3,Percentage of all pupils in primary and secondary schools where the ethnic background is not known or not disclosed,% Pupils with undisclosed / unknown ethnicity,ratio
ED-PPsFSMsNPSR2,Number of primary and secondary pupils registered for free school meals,Free school meals: No primary and secondary pupils,count
ED-PPsFSMsPPSR2,Percentage of pupils in primary and secondary schools registered for free school meals,Free school meals: Percentage primary and secondary pupils,ratio
ED-PPsGMEsNP,"The number of primary pupils being taught Gaelic or another subject, through the medium of Gaelic.",No primary pupils receiving Gaelic Medium Education,count
ED-PPsGMEsNS,"The number of secondary pupils being taught Gaelic or another subject, through the medium of Gaelic.",No secondary pupils receiving Gaelic Medium Education,count
ED-PPsPNsNFP,Number of female pupils in primary schools,Primary schools: No female pupils,count
ED-PPsPNsNFS,Number of female pupils in secondary schools,Secondary schools: No female pupils,count
ED-PPsPNsNFS16p,Number of female pupils in secondary schools aged 16 and over,Secondary schools: No female pupils 16 and over,count
ED-PPsPNsNMP,Number of male pupils in primary schools,Primary schools: No male pupils,count
ED-PPsPNsNMS,Number of male pupils in secondary schools,Secondary schools: No male pupils,count
ED-PPsPNsNMS16p,Number of male pupils in secondary schools aged 16 and over,Secondary schools: No male pupils 16 and over,count
ED-PPsPNsNTP,Total number of pupils in primary schools,Primary schools: Total no pupils,count
ED-PPsPNsNTS,Total number of pupils in secondary schools,Secondary schools: Total no pupils,count
ED-PPsPNsNTS16p,Total number of pupils in secondary schools aged 16 and over,Secondary schools: Total no pupils 16 and over,count
ED-PreSch,Percentage of pre-school centres receiving positive inspection reports,% of pre-school centres receiving positive inspection reports,count
ED-SchInspect,Percentage of schools receiving positive inspection reports,% of schools receiving positive inspection reports,count
ED-SIMD16notfte04,SIMD 2004 - Percentage of pupils aged 16+ who are not in full time education,SIMD 2004 - Pupils aged 16+ who are not in full time education,count
ED-SIMD1721HE9plus1,Percentage of 17-21 year olds enrolling into higher education,SIMD 2009 One Year Update - 17-21 year olds enrolling into higher education,count
ED-SIMD1721HE9plus2,Percentage of 17-21 year olds enrolling into higher education,SIMD 2009 Two year update - 17-21 year olds enrolling into higher education,count
ED-SIMD17plusnoHE04,SIMD 2004 - Proportion of 17+ population not successfully applying to Higher Education,SIMD 2004 - Proportion of 17+ population not successfully applying to Higher Education,count
ED-SIMD17to21HE09,SIMD 2009 - Percentage of 17-21 year olds enrolling into higher education,SIMD 2009 - 17-21 year olds enrolling into higher education,count
ED-SIMD17to21HE6,SIMD 2006 - Percentage of 17-21 year olds enrolling into higher education,SIMD 2006 - 17-21 year olds enrolling into higher education,count
ED-SIMDneet9,"SIMD 2009 - Proportion of 16-19 year olds not in education, employment or training","SIMD 2009 - 16-19 not in education, employment or training",count
ED-SIMDneet9plus1,"SIMD 2009 One Year Update - Proportion of 16-19 year olds not in education, employment or training","SIMD 2009 One Year Update - 16-19 not in education, employment or training",count
ED-SIMDneet9plus2,"SIMD 2009 Two Year Update - Proportion of 16-19 year olds not in education, employment or training","SIMD 2009 Two Year Update - 16-19 not in education, employment or training",count
ED-SIMDpabs9plus2,SIMD 2009 Two Year Update - Average school pupil absence rate,SIMD 2009 Two Year Update - School pupil absences,count
ED-SIMDpupilabs6,SIMD 2006 - Average school pupil absence rate,SIMD 2006 - School pupil absences,count
ED-SIMDpupilabs9,SIMD 2009 - Average school pupil absence rate,SIMD 2009 - School pupil absences,count
ED-SIMDsecabs04,SIMD 2004 - Average secondary school pupil absence rate,SIMD 2004 - Secondary school pupil absences,count
ED-SIMDSQA04,SIMD 2004 - Average pupil performance on SQA at stage 4,SIMD 2004 - Pupil performance on SQA at stage 4,count
ED-SIMDSQA6,SIMD 2006 - Average pupil performance on SQA at stage 4,SIMD 2006 - Pupil performance on SQA at stage 4,count
ED-SIMDSQA9,SIMD 2009 - Average pupil performance on SQA at stage 4,SIMD 2009 - Pupil performance on SQA at stage 4,count
ED-SIMDSQA9plus2,SIMD 2009 Two Year Update - Average pupil performance on SQA at stage 4,SIMD 2009 Two Year Update - Pupil performance on SQA at stage 4,count
ED-SIMDwanoquals4,SIMD 2004 - Proportion of working age people with no qualifications,SIMD 2004 - Working age people with no qualifications,count
ED-SIMDwanoquals6,SIMD 2006 - Proportion of working age people with no qualifications,SIMD 2006 - Working age people with no qualifications,count
ED-SIMDwanoquals9,SIMD 2009 - Proportion of working age people with no qualifications,SIMD 2009 - Working age people with no qualifications,count
ED-SLD_EMP_N,Number of leavers from publicly funded secondary schools going into Employment,n Employment,count
ED-SLD_EMP_N__asn,Number of leavers with Aditional Support Needs from publicly funded secondary schools going into Employment,n Employment - ASN,count
ED-SLD_EMP_N__f,Number of female leavers from publicly funded secondary schools going into Employment,n Employment - F,count
ED-SLD_EMP_N__m,Number of male leavers from publicly funded secondary schools going into Employment,n Employment - M,count
ED-SLD_EMP_P,Percentage of leavers from publicly funded secondary schools going into Employment,% Employment,ratio
ED-SLD_EMP_P__asn,Percentage of leavers with Aditional Support Needs from publicly funded secondary schools going into Employment,% Employment - ASN,ratio
ED-SLD_EMP_P__f,Percentage of female leavers from publicly funded secondary schools going into Employment,% Employment - F,ratio
ED-SLD_EMP_P__m,Percentage of male leavers from publicly funded secondary schools going into Employment,% Employment - M,ratio
ED-SLD_FE_N,Number of leavers from publicly funded secondary schools going to Further Education,n Further Education,count
ED-SLD_FE_N__asn,Number of leavers with Aditional Support Needs from publicly funded secondary schools going to Further Education,n Further Education - ASN,count
ED-SLD_FE_N__f,Number of female leavers from publicly funded secondary schools going to Further Education,n Further Education - F,count
ED-SLD_FE_N__m,Number of male leavers from publicly funded secondary schools going to Further Education,n Further Education - M,count
ED-SLD_FE_P,Percentage of leavers from publicly funded secondary schools going to Further Education,% Further Education,ratio
ED-SLD_FE_P__asn,Percentage of leavers with Aditional Support Needs from publicly funded secondary schools going to Further Education,% Further Education - ASN,ratio
ED-SLD_FE_P__f,Percentage of female leavers from publicly funded secondary schools going to Further Education,% Further Education - F,ratio
ED-SLD_FE_P__m,Percentage of male leavers from publicly funded secondary schools going to Further Education,% Further Education - M,ratio
ED-SLD_HE_N,Number of leavers from publicly funded secondary schools going to Higher Education,n Higher Education,count
ED-SLD_HE_N__asn,Number of leavers with Aditional Support Needs from publicly funded secondary schools going to Higher Education,n Higher Education - ASN,count
ED-SLD_HE_N__f,Number of female leavers from publicly funded secondary schools going to Higher Education,n Higher Education - F,count
ED-SLD_HE_N__m,Number of male leavers from publicly funded secondary schools going to Higher Education,n Higher Education - M,count
ED-SLD_HE_P,Percentage of leavers from publicly funded secondary schools going to Higher Education,% Higher Education,ratio
ED-SLD_HE_P__asn,Percentage of leavers with Aditional Support Needs from publicly funded secondary schools going to Higher Education,% Higher Education - ASN,ratio
ED-SLD_HE_P__f,Percentage of female leavers from publicly funded secondary schools going to Higher Education,% Higher Education - F,ratio
ED-SLD_HE_P__m,Percentage of male leavers from publicly funded secondary schools going to Higher Education,% Higher Education - M,ratio
ED-SLD_OK_N,Number of leavers from publicly funded secondary schools going into other known categories (1997/98 to 2001/02),n Other Known (1997 to 2001),count
ED-SLD_OK_P,Percentage of leavers from publicly funded secondary schools going into other known categories (1997/98 to 2001/02),% Other Known (1997 to 2001),ratio
ED-SLD_TOT,Total number of leavers from publicly funded secondary schools,Total Number of School leavers,count
ED-SLD_TOT__asn,Total number of leavers with Aditional Support Needs from publicly funded secondary schools,Total Number of School leavers - ASN,count
ED-SLD_TOT_f,Total number of female leavers from publicly funded secondary schools,Total Number of School leavers - F,count
ED-SLD_TOT_m,Total number of male leavers from publicly funded secondary schools,Total Number of School leavers - M,count
ED-SLD_TRA_N,Number of leavers from publicly funded secondary schools going into Training,n Training,count
ED-SLD_TRA_N__asn,Number of leavers with Aditional Support Needs from publicly funded secondary schools going into Training,n Training - ASN,count
ED-SLD_TRA_N__f,Number of female leavers from publicly funded secondary schools going into Training,n Training - F,count
ED-SLD_TRA_N__m,Number of male leavers from publicly funded secondary schools going into Training,n Training - M,count
ED-SLD_TRA_P,Percentage of leavers from publicly funded secondary schools going into Training,% Training,ratio
ED-SLD_TRA_P__asn,Percentage of leavers with Aditional Support Needs from publicly funded secondary schools going into Training,% Training - ASN,ratio
ED-SLD_TRA_P__f,Percentage of female leavers from publicly funded secondary schools going into Training,% Training - F,ratio
ED-SLD_TRA_P__m,Percentage of male leavers from publicly funded secondary schools going into Training,% Training - M,ratio
ED-SLD_UNK_N,Number of leavers from publicly funded secondary schools with unknown destinations,n Unknown,count
ED-SLD_UNK_N__asn,Number of leavers with Aditional Support Needs from publicly funded secondary schools with unknown destinations,n Unknown - ASN,count
ED-SLD_UNK_N__f,Number of female leavers from publicly funded secondary schools with unknown destinations,n Unknown - F,count
ED-SLD_UNK_N__m,Number of male leavers from publicly funded secondary schools with unknown destinations,n Unknown - M,count
ED-SLD_UNK_P,Percentage of leavers from publicly funded secondary schools with unknown destinations,% Unknown,ratio
ED-SLD_UNK_P__asn,Percentage of leavers with Aditional Support Needs from publicly funded secondary schools with unknown destinations,% Unknown - ASN,ratio
ED-SLD_UNK_P__f,Percentage of female leavers from publicly funded secondary schools with unknown destinations,% Unknown - F,ratio
ED-SLD_UNK_P__m,Percentage of male leavers from publicly funded secondary schools with unknown destinations,% Unknown - M,ratio
ED-SLD_UNS_N,Number of leavers from publicly funded secondary schools that were unemployed and not seeking employment or training (2002/03 onwards),n Unemployed and not seeking employment or training (2002 onwards),count
ED-SLD_UNS_N__asn,Number of leavers with Aditional Support Needs from publicly funded secondary schools that were unemployed and not seeking employment or training (2002/03 onwards),n Unemployed and not seeking employment or training - ASN,count
ED-SLD_UNS_N__f,Number of female leavers from publicly funded secondary schools that were unemployed and not seeking employment or training (2002/03 onwards),n Unemployed and not seeking employment or training - F,count
ED-SLD_UNS_N__m,Number of male leavers from publicly funded secondary schools that were unemployed and not seeking employment or training (2002/03 onwards),n Unemployed and not seeking employment or training - M,count
ED-SLD_UNS_P,Percentage of leavers from publicly funded secondary schools that were unemployed and not seeking employment or training (2002/03 onwards),% Unemployed and not seeking employment or training (2002 onwards),ratio
ED-SLD_UNS_P__asn,Percentage of leavers with Aditional Support Needs from publicly funded secondary schools that were unemployed and not seeking employment or training (2002/03 onwards),% Unemployed and not seeking employment or training - ASN,ratio
ED-SLD_UNS_P__f,Percentage of female leavers from publicly funded secondary schools that were unemployed and not seeking employment or training (2002/03 onwards),% Unemployed and not seeking employment or training - F,ratio
ED-SLD_UNS_P__m,Percentage of male leavers from publicly funded secondary schools that were unemployed and not seeking employment or training (2002/03 onwards),% Unemployed and not seeking employment or training - M,ratio
ED-SLD_US_N,Number of leavers from publicly funded secondary schools that were unemployed and seeking employment or training (2002/03 onwards),n Unemployed and seeking employment or training (2002 onwards),count
ED-SLD_US_N__asn,Number of leavers with Aditional Support Needs from publicly funded secondary schools that were unemployed and seeking employment or training (2002/03 onwards),n Unemployed and seeking employment or training - ASN,count
ED-SLD_US_N__f,Number of female leavers from publicly funded secondary schools that were unemployed and seeking employment or training (2002/03 onwards),n Unemployed and seeking employment or training - F,count
ED-SLD_US_N__m,Number of male leavers from publicly funded secondary schools that were unemployed and seeking employment or training (2002/03 onwards),n Unemployed and seeking employment or training - M,count
ED-SLD_US_P,Percentage of leavers from publicly funded secondary schools that were unemployed and seeking employment or training (2002/03 onwards),% Unemployed and seeking employment or training (2002 onwards),ratio
ED-SLD_US_P__asn,Percentage of leavers with Aditional Support Needs from publicly funded secondary schools that were unemployed and seeking employment or training (2002/03 onwards),% Unemployed and seeking employment or training - ASN,ratio
ED-SLD_US_P__f,Percentage of female leavers from publicly funded secondary schools that were unemployed and seeking employment or training (2002/03 onwards),% Unemployed and seeking employment or training - F,ratio
ED-SLD_US_P__m,Percentage of male leavers from publicly funded secondary schools that were unemployed and seeking employment or training (2002/03 onwards),% Unemployed and seeking employment or training - M,ratio
ED-SLDF_OTHER_P,Percentage of leavers from publicly funded secondary schools in Other follow-up destinations,% school leavers in other follow-up destinations,ratio
ED-SLDF_POSITIVE_P,Percentage of leavers from publicly funded secondary schools in Positive follow-up destinations,% school leavers in positive follow-up destinations,ratio
ED-SLDF_TOT,Total number of leavers from publicly funded secondary schools,Total number of follow-up school leavers,count
ED-SQAsASNS4Roll,Number of pupils with additional support needs on the S4 roll,S4: No pupils with ASN,count
ED-SQAsASNS4Roll2,Number of pupils with Additional Support Needs enrolled in stage S4 of publicly funded secondary schools.,S4: No of pupils with ASN,count
ED-SQAsASNS5Roll,Number of pupils with additional support needs on the S5 roll,S5: No pupils with ASN,count
ED-SQAsASNS5Roll2,Number of pupils with Additional Support Needs enrolled in stage S5 of publicly funded secondary schools.,S5: No of pupils with ASN,count
ED-SQAsASNS6Roll,Number of pupils with additional support needs on the S6 roll,S6: No pupils with ASN,count
ED-SQAsASNS6Roll2,Number of pupils with Additional Support Needs enrolled in stage S6 of publicly funded secondary schools.,S6: No of pupils with ASN,count
ED-SQAsFemaleS4Roll,Number of Female pupils on the S4 roll,S4: No female pupils,count
ED-SQAsFemaleS5Roll,Number of Female pupils on the S5 roll,S5: No female pupils,count
ED-SQAsFemaleS6Roll,Number of Female pupils on the S6 roll,S6: No female pupils,count
ED-SQAsFemS4Roll2,Number of Female pupils on the S4 roll,S4: No of female pupils,count
ED-SQAsFemS5Roll2,Number of Female pupils on the S5 roll,S5: No of female pupils,count
ED-SQAsFemS6Roll2,Number of Female pupils on the S6 roll,S6: No of female pupils,count
ED-SQAsMaleS4Roll,Number of Male pupils on the S4 roll,S4: No male pupils,count
ED-SQAsMaleS4Roll2,Number of Male pupils on the S4 roll,S4: No of male pupils,count
ED-SQAsMaleS5Roll,Number of Male pupils on the S5 roll,S5: No male pupils,count
ED-SQAsMaleS5Roll2,Number of Male pupils on the S5 roll,S5: No of male pupils,count
ED-SQAsMaleS6Roll,Number of Male pupils on the S6 roll,S6: No male pupils,count
ED-SQAsMaleS6Roll2,Number of Male pupils on the S6 roll,S6: No of male pupils,count
ED-SQAsNS4ASN5pAL3p,Number of pupils with ASN in the S4 cohort that attained 5 or more awards at SCQF level 3 or above,S4: No pupils with ASN with 5 awards at SCQF level 3 and above,count
ED-SQAsNS4ASN5pAL4p,Number of pupils with ASN in the S4 cohort that attained 5 or more awards at SCQF level 4 or above,S4: No pupils with ASN with 5 awards at SCQF level 4 and above,count
ED-SQAsNS4ASN5pAL5p,Number of pupils with ASN in the S4 cohort that attained 5 or more awards at SCQF level 5 or above,S4: No pupils with ASN with 5 awards at SCQF level 5 and above,count
ED-SQAsNS4ASNL3pEM,Number of pupils in the S4 cohort with ASN that attained SCQF level 3 or better in both English and Maths,S4: No of pupils with ASN with English and Maths at SCQF level 3 or above,count
ED-SQAsNS4FEM5pAL3p,Number of female pupils in the S4 cohort that attained 5 or more awards at SCQF level 3 or above,S4: No female pupils with 5 awards at SCQF level 3 and above,count
ED-SQAsNS4FEM5pAL4p,Number of female pupils in the S4 cohort that attained 5 or more awards at SCQF level 4 or above,S4: No female pupils with 5 awards at SCQF level 4 and above,count
ED-SQAsNS4FEM5pAL5p,Number of female pupils in the S4 cohort that attained 5 or more awards at SCQF level 5 or above,S4: No female pupils with 5 awards at SCQF level 5 and above,count
ED-SQAsNS4FEML3pEM,Number of female pupils in the S4 cohort that attained SCQF level 3 or better in both English and Maths,S4: No of female pupils with English and Maths at SCQF level 3 or above,count
ED-SQAsNS4T5pAL3p,Number of pupils in the S4 cohort that attained 5 or more awards at SCQF level 3 or above,S4: No pupils with 5 awards at SCQF level 3 and above,count
ED-SQAsNS4T5pAL4p,Number of pupils in the S4 cohort that attained 5 or more awards at SCQF level 4 or above,S4: No pupils with 5 awards at SCQF level 4 and above,count
ED-SQAsNS4T5pAL5p,Number of pupils in the S4 cohort that attained 5 or more awards at SCQF level 5 or above,S4: No pupils with 5 awards at SCQF level 5 and above,count
ED-SQAsNS4TL3pEM,Number in the S4 cohort that attained SCQF level 3 or better in both English and Maths,S4: No of pupils with English and Maths at SCQF level 3 or above,count
ED-SQAsNS5ASN1pAL6p,Number of pupils with ASN in the S5 cohort that attained 1 or more awards at SCQF level 6 or above,S5: No pupils with ASN with 1 award at SCQF level 6 and above,count
ED-SQAsNS5ASN3pAL6p,Number of pupils with ASN in the S5 cohort that attained 3 or more awards at SCQF level 6 or above,S5: No pupils with ASN with 3 awards at SCQF level 6 and above,count
ED-SQAsNS5ASN5pAL6p,Number of pupils with ASN in the S5 cohort that attained 5 or more awards at SCQF level 6 or above,S5: No pupils with ASN with 5 awards at SCQF level 6 and above,count
ED-SQAsNS5FEM1pAL6p,Number of female pupils in the S5 cohort that attained 1 or more awards at SCQF level 6 or above,S5: No female pupils with 1 award at SCQF level 6 and above,count
ED-SQAsNS5FEM3pAL6p,Number of female pupils in the S5 cohort that attained 3 or more awards at SCQF level 6 or above,S5: No female pupils with 3 awards at SCQF level 6 and above,count
ED-SQAsNS5FEM5pAL6p,Number of female pupils in the S5 cohort that attained 5 or more awards at SCQF level 6 or above,S5: No female pupils with 5 awards at SCQF level 6 and above,count
ED-SQAsNS5MAL1pAL6p,Number of male pupils in the S5 cohort that attained 1 or more awards at SCQF level 6 or above,S5: No male pupils with 1 award at SCQF level 6 and above,count
ED-SQAsNS5MAL3pAL6p,Number of male pupils in the S5 cohort that attained 3 or more awards at SCQF level 6 or above,S5: No male pupils with 3 awards at SCQF level 6 and above,count
ED-SQAsNS5MAL5pAL6p,Number of male pupils in the S5 cohort that attained 5 or more awards at SCQF level 6 or above,S5: No male pupils with 5 awards at SCQF level 6 and above,count
ED-SQAsNS5T1pAL6p,Number of pupils in the S5 cohort that attained 1 or more awards at SCQF level 6 or above,S5: No pupils with 1 award at SCQF level 6 and above,count
ED-SQAsNS5T3pAL6p,Number of pupils in the S5 cohort that attained 3 or more awards at SCQF level 6 or above,S5: No pupils with 3 awards at SCQF level 6 and above,count
ED-SQAsNS5T5pAL6p,Number of pupils in the S5 cohort that attained 5 or more awards at SCQF level 6 or above,S5: No pupils with 5 awards at SCQF level 6 and above,count
ED-SQAsNS6ASN1pAL7,Number of pupils with ASN in the S6 cohort that attained 1 or more awards at SCQF level 7 or above,S6: No pupils with ASN with 1 award at SCQF level 7 and above,count
ED-SQAsNS6ASN3pAL6p,Number of pupils with ASN in the S6 cohort that attained 3 or more awards at SCQF level 6 or above,S6: No pupils with ASN with 3 awards at SCQF level 6 and above,count
ED-SQAsNS6ASN5pAL6p,Number of pupils with ASN in the S6 cohort that attained 5 or more awards at SCQF level 6 or above,S6: No pupils with ASN with 5 awards at SCQF level 6 and above,count
ED-SQAsNS6FEM1pAL7,Number of female pupils in the S6 cohort that attained 1 or more awards at SCQF level 7 or above,S6: No female pupils with 1 award at SCQF level 7 and above,count
ED-SQAsNS6FEM3pAL6p,Number of female pupils in the S6 cohort that attained 3 or more awards at SCQF level 6 or above,S6: No female pupils with 3 awards at SCQF level 6 and above,count
ED-SQAsNS6FEM5pAL6p,Number of female pupils in the S6 cohort that attained 5 or more awards at SCQF level 6 or above,S6: No female pupils with 5 awards at SCQF level 6 and above,count
ED-SQAsNS6MAL1pAL7,Number of male pupils in the S6 cohort that attained 1 or more awards at SCQF level 7 or above,S6: No male pupils with 1 award at SCQF level 7 and above,count
ED-SQAsNS6MAL3pAL6p,Number of male pupils in the S6 cohort that attained 3 or more awards at SCQF level 6 or above,S6: No male pupils with 3 awards at SCQF level 6 and above,count
ED-SQAsNS6MAL5pAL6p,Number of male pupils in the S6 cohort that attained 5 or more awards at SCQF level 6 or above,S6: No male pupils with 5 awards at SCQF level 6 and above,count
ED-SQAsNS6T1pAL7,Number of pupils in the S6 cohort that attained 1 or more awards at SCQF level 7 or above,S6: No pupils with 1 award at SCQF level 7 and above,count
ED-SQAsNS6T3pAL6p,Number of pupils in the S6 cohort that attained 3 or more awards at SCQF level 6 or above,S6: No pupils with 3 awards at SCQF level 6 and above,count
ED-SQAsNS6T5pAL6p,Number of pupils in the S6 cohort that attained 5 or more awards at SCQF level 6 or above,S6: No pupils with 5 awards at SCQF level 6 and above,count
ED-SQAsNSMALE5pAL3p,Number of male pupils in the S4 cohort that attained 5 or more awards at SCQF level 3 or above,S4: No male pupils with 5 awards at SCQF level 3 and above,count
ED-SQAsNSMALE5pAL4p,Number of male pupils in the S4 cohort that attained 5 or more awards at SCQF level 4 or above,S4: No male pupils with 5 awards at SCQF level 4 and above,count
ED-SQAsNSMALE5pAL5p,Number of male pupils in the S4 cohort that attained 5 or more awards at SCQF level 5 or above,S4: No male pupils with 5 awards at SCQF level 5 and above,count
ED-SQAsNSMALEL3pEM,Number of male pupils in the S4 cohort that attained SCQF level 3 or better in both English and Maths,S4: No of male pupils with English and Maths at SCQF level 3 or above,count
ED-SQAsPS4ASN5pAL3p,Percentage of pupils with ASN in the S4 cohort that attained 5 or more awards at SCQF level 3 or above,S4: Percentage of pupils with ASN with 5 awards at SCQF level 3 and above,ratio
ED-SQAsPS4ASN5pAL4p,Percentage of pupils with ASN in the S4 cohort that attained 5 or more awards at SCQF level 4 or above,S4: Percentage of pupils with ASN with 5 awards at SCQF level 4 and above,ratio
ED-SQAsPS4ASN5pAL5p,Percentage of pupils with ASN in the S4 cohort that attained 5 or more awards at SCQF level 5 or above,S4: Percentage of pupils with ASN with 5 awards at SCQF level 5 and above,ratio
ED-SQAsPS4ASNL3pEM,Percentage of S4 cohort with ASN that attained SCQF level 3 or better in both English and Maths,S4: Percentage of pupils with ASN with English and Maths at SCQF level 3 or above,ratio
ED-SQAsPS4FEM5pAL3p,Percentage of female pupils in the S4 cohort that attained 5 or more awards at SCQF level 3 or above,S4: Percentage of female pupils with 5 awards at SCQF level 3 and above,ratio
ED-SQAsPS4FEM5pAL4p,Percentage of female pupils in the S4 cohort that attained 5 or more awards at SCQF level 4 or above,S4: Percentage of female pupils with 5 awards at SCQF level 4 and above,ratio
ED-SQAsPS4FEM5pAL5p,Percentage of female pupils in the S4 cohort that attained 5 or more awards at SCQF level 5 or above,S4: Percentage of female pupils with 5 awards at SCQF level 5 and above,ratio
ED-SQAsPS4FEML3pEM,Percentage of S4 female cohort that attained SCQF level 3 or better in both English and Maths,S4: Percentage of female pupils with English and Maths at SCQF level 3 or above,ratio
ED-SQAsPS4T5pAL3p,Percentage of pupils in the S4 cohort that attained 5 or more awards at SCQF level 3 or above,S4: Percentage of pupils with 5 awards at SCQF level 3 and above,ratio
ED-SQAsPS4T5pAL4p,Percentage of pupils in the S4 cohort that attained 5 or more awards at SCQF level 4 or above,S4: Percentage of pupils with 5 awards at SCQF level 4 and above,ratio
